item_id,category_name,item_description,item_title,business_line,tf_code
1482612,شیرینی تر,,زولبیا و بامیه 500 گرم,Pastry,2864zy
1482755,پک افطار ویژه ماه رمضان,حدود 200 گرم,شله زرد ویژه ماه رمضان,Restaurant,5nlrr3
99302,سالاد و پیش غذا,"دست ساز، تک نفره، ماست و خیار، ماست موسیر، ماست اسفناج، زیتون شور، ترشی مخلوط، سالاد شیرازی، رب انار",سینی پیش غذا,Restaurant,28o115
182659,پیش غذا,شش نوع پیش غذا (تمامی ظروف تایید وزارت بهداشت و قابل گرم کردن در ماکروویو),سینی مزه,Restaurant,5myzmn
241570,خوراک,سینی میکس,سینی میکس چهار نفره,Restaurant,5r4zm5
303504,بشقاب,"۱۰ حلقه خیار دیزاین شده با ماست موسیر، سه شات گرین شامل: شش عدد خلال خیار، هویج، سه عدد بیبی کورن، کلم بروکلی و سه شات ماست و خیار، ۲۵ گرم پنیر رنگی، ۹۰ گرم قارچ سرخ شده، ۱۸ گرم زیتون سبز هسته دار، ۱۰۰ گرم خیارشور، ۶۰ گرم گوجه گیلاسی",گرین فینگر فود,Restaurant,231w17
313862,سالاد و پیش غذا,"میرزا قاسمی، کشک بامجان، نان لواش",میکس پیش غذا گرم بزرگ (۸۰۰ گرم),Restaurant,5xg4k9
363219,سالاد و پیش غذا,"سالاد، ماست، زیتون پرورده، خیارشور، نوشیدنی",سرویس کامل,Restaurant,5k3po6
395577,سالاد و پیش غذا,"سالاد شیرازی، سالاد کلم، ماست و خیار، بورانی بادمجان، بورانی اسفناج، زیتون پرورده",سینی مزه سرد,Restaurant,51ypxo
402462,پک دو نفره,"تست شکلاتی، تست پنیر و گردو، چای و عسل، شیر گرم",پک شماره یک,Cafe,24nloo
608427,پیش غذا,"دو عد فیله سوخاری به همراه سیب زمینی،دو عدد بامیه، پنیر و سبزی، یک عدد خرما، شله زرد یا آش، نان ",پک افطار فیله سوخاری,Restaurant,28pywp
